market_id,category,title,model_probability,market_price_at_close,actual_outcome,confidence,relevant,price_gap,reasoning
KXCITIESWEATHER-24DEC22(AUS)(CHI)(DEN)(HOU)(NY)(PHIL)-(T62)(T28)(T59)(T59)(T21)(T23),weather,"Will the high temp in Austin, Chicago, Denver, Houston, New York and Philadelphia be Austin: 61° or below; Chicago: 27° or below; Denver: 58° or below; Houston: 58° or below; New York: 20° or below and Philadelphia: 22° or below on Dec 22, 2024?",0.02,0.0,0,0.85,1,0.02,"The temperatures specified are extremely low for December 22nd in most of these cities, making the event highly unlikely."
KXCITIESWEATHER-25JAN22(HOU)(MIA)(NY)-(T35)(T64)(T16),weather,"Will the high temp in Houston, Miami and New York be Houston: 34° or below; Miami: 63° or below and New York: 15° or below on Jan 22, 2025?",0.02,0.0,0,0.95,1,0.02,The simultaneous occurrence of such extreme temperature conditions in all three cities on the same day is extremely rare.
KXCITIESWEATHER-25JAN15(AUS)(HOU)(MIA)(NY)(PHIL)-(T58)(B54.5)(B75.5)(B33.5)(B35.5),weather,"Will the high temp in Austin, Houston, Miami, New York and Philadelphia be Austin: 59° or above; Houston: 54° to 55°; Miami: 75° to 76°; New York: 33° to 34° and Philadelphia: 35° to 36° on Jan 15, 2025?",0.02,0.0,0,0.85,1,0.02,"The specified temperatures for each city on Jan 15, 2025 are extremely unlikely based on historical weather patterns."
TORNADO-24FEB-50,weather,Will there be more than 50 tornadoes in February?,0.25,0.24,0,0.85,1,0.010000000000000009,"Historical data shows an average of about 30 tornadoes in February, making the event less likely."
KXCITIESWEATHER-25JAN08(AUS)(DEN)(NY)(PHIL)-(B41.5)(T39)(B29.5)(B32.5),weather,"Will the high temp in Austin, Denver, New York and Philadelphia be Austin: 41° to 42°; Denver: 40° or above; New York: 29° to 30° and Philadelphia: 32° to 33° on Jan 8, 2025?",0.02,0.0,0,0.85,1,0.02,The specified temperatures are extremely unusual for January in all mentioned cities.
RAINNYC-21NOV01-T0,weather,Will it rain in New York City on Monday?,0.05,0.03,0,0.8,1,0.020000000000000004,The base rate for rain in NYC on a random Monday is higher than the current market price suggests.
KXCITIESWEATHER-25JAN19(CHI)(NY)(PHIL)-(T31)(T41)(T40),weather,"Will the high temp in Chicago, New York and Philadelphia be Chicago: 30° or below; New York: 40° or below and Philadelphia: 39° or below on Jan 19, 2025?",0.02,0.0,0,0.85,1,0.02,January temperatures in these cities are typically above the specified thresholds.
KXCITIESWEATHER-25FEB28(CHI)(DEN)(PHIL)-(B56.5)(B63.5)(T54),weather,"Will the high temp in Chicago, Denver and Philadelphia be Chicago: 56° to 57°; Denver: 63° to 64° and Philadelphia: 55° or above on Feb 28, 2025?",0.02,0.0,0,0.75,1,0.02,The specified temperatures are extremely unlikely for February in all three cities.
KXCITIESWEATHER-25JAN29(AUS)(MIA)(NY)-(T65)(T71)(T41),weather,"Will the high temp in Austin, Miami and New York be Austin: 64° or below; Miami: 70° or below and New York: 40° or below on Jan 29, 2025?",0.02,0.0,0,0.75,1,0.02,The simultaneous occurrence of such low temperatures in all three cities is extremely rare.
KXCITIESWEATHER-24DEC18(AUS)(CHI)-(B70.5)(B36.5),weather,"Will the high temp in Austin and Chicago be Austin: 70° to 71° and Chicago: 36° to 37° on Dec 18, 2024?",0.02,0.0,1,0.85,1,0.02,The extreme temperature discrepancy between Austin and Chicago in December is highly unlikely.
KXCITIESWEATHER-24DEC30(AUS)(HOU)(NY)-(T77)(T72)(T52),weather,"Will the high temp in Austin, Houston and New York be Austin: 76° or below; Houston: 71° or below and New York: 51° or below on Dec 30, 2024?",0.05,0.0,0,0.75,1,0.05,The historical weather data shows extremely low probability of such simultaneous low temperatures in all three cities on December 30th.
KXCITIESWEATHER-24DEC20(CHI)(HOU)(MIA)(PHIL)-(B37.5)(T68)(B79.5)(B39.5),weather,"Will the high temp in Chicago, Houston, Miami and Philadelphia be Chicago: 37° to 38°; Houston: 69° or above; Miami: 79° to 80° and Philadelphia: 39° to 40° on Dec 20, 2024?",0.02,0.0,0,0.75,1,0.02,The specified temperatures are highly unlikely for the respective cities in December.
KXRTHOWTOTRAINYOURDRAGON-60,weather,How to Train Your Dragon Rotten Tomatoes score?,0.5,0.99,1,0.2,0,0.49,"The market question is about a movie's Rotten Tomatoes score, which does not fall under the weather category and cannot be analyzed with economic or government data."
KXCITIESWEATHER-25JAN03(CHI)(MIA)(NY)-(B27.5)(B77.5)(B39.5),weather,"Will the high temp in Chicago, Miami and New York be Chicago: 27° to 28°; Miami: 77° to 78° and New York: 39° to 40° on Jan 3, 2025?",0.35,0.32,1,0.75,1,0.02999999999999997,"The specified temperatures are unusually low for Miami and high for Chicago in January, making the event less probable than the current market price suggests."
RAINNYC-21OCT05-T0,weather,Will it rain in New York City on Tuesday?,0.95,0.99,1,0.85,1,0.040000000000000036,"The current market price of 0.99 indicates a very high likelihood, supported by typical weather patterns for rain in New York City on Tuesdays."
TORNADO-24OCT-75,weather,Will there be more than 75 tornadoes in October?,0.06,0.05,0,0.85,1,0.009999999999999995,"Historical data shows an average of fewer than 75 tornadoes in October, with little variation to suggest this year will be notably different."
KXCITIESWEATHER-25JAN06(CHI)(DEN)(NY)(PHIL)-(T32)(B38.5)(B32.5)(B32.5),weather,"Will the high temp in Chicago, Denver, New York and Philadelphia be Chicago: 33° or above; Denver: 38° to 39°; New York: 32° to 33° and Philadelphia: 32° to 33° on Jan 6, 2025?",0.02,0.0,0,0.85,1,0.02,"The specified temperatures are extremely cold for January in Chicago and Denver, making the event highly unlikely."
