market_id,category,title,model_probability,market_price_at_close,actual_outcome,confidence,relevant,price_gap,reasoning
KXCITIESWEATHER-25JAN15(AUS)(HOU)(MIA)(NY)(PHIL)-(T58)(B54.5)(B75.5)(B33.5)(B35.5),weather,"Will the high temp in Austin, Houston, Miami, New York and Philadelphia be Austin: 59° or above; Houston: 54° to 55°; Miami: 75° to 76°; New York: 33° to 34° and Philadelphia: 35° to 36° on Jan 15, 2025?",0.0,0.0,0,0.9,0,0.0,"Historical temperature data and current trends are not provided, making it impossible to predict with any reasonable accuracy."
TORNADO-24FEB-50,weather,Will there be more than 50 tornadoes in February?,0.3,0.24,0,0.4,0,0.06,Insufficient recent relevant data to adjust probability.
KXCITIESWEATHER-25JAN22(HOU)(MIA)(NY)-(T35)(T64)(T16),weather,"Will the high temp in Houston, Miami and New York be Houston: 34° or below; Miami: 63° or below and New York: 15° or below on Jan 22, 2025?",0.0,0.0,0,0.9,0,0.0,Historical temperature data shows these conditions are extremely unlikely.
KXCITIESWEATHER-24DEC22(AUS)(CHI)(DEN)(HOU)(NY)(PHIL)-(T62)(T28)(T59)(T59)(T21)(T23),weather,"Will the high temp in Austin, Chicago, Denver, Houston, New York and Philadelphia be Austin: 61° or below; Chicago: 27° or below; Denver: 58° or below; Houston: 58° or below; New York: 20° or below and Philadelphia: 22° or below on Dec 22, 2024?",0.0,0.0,0,1.0,0,0.0,"The current YES price is 0%, indicating no chance of the event occurring."
KXCITIESWEATHER-25JAN08(AUS)(DEN)(NY)(PHIL)-(B41.5)(T39)(B29.5)(B32.5),weather,"Will the high temp in Austin, Denver, New York and Philadelphia be Austin: 41° to 42°; Denver: 40° or above; New York: 29° to 30° and Philadelphia: 32° to 33° on Jan 8, 2025?",0.0,0.0,0,0.1,0,0.0,No current information to predict specific weather conditions.
RAINNYC-21NOV01-T0,weather,Will it rain in New York City on Monday?,0.1,0.03,0,0.2,0,0.07,Insufficient recent weather data to make an accurate prediction.
KXCITIESWEATHER-25JAN19(CHI)(NY)(PHIL)-(T31)(T41)(T40),weather,"Will the high temp in Chicago, New York and Philadelphia be Chicago: 30° or below; New York: 40° or below and Philadelphia: 39° or below on Jan 19, 2025?",0.0,0.0,0,0.8,0,0.0,Historical temperature data shows these conditions are extremely rare in January.
KXCITIESWEATHER-25FEB28(CHI)(DEN)(PHIL)-(B56.5)(B63.5)(T54),weather,"Will the high temp in Chicago, Denver and Philadelphia be Chicago: 56° to 57°; Denver: 63° to 64° and Philadelphia: 55° or above on Feb 28, 2025?",0.0,0.0,0,1.0,0,0.0,No current market data or recent events to adjust the probability from the given price.
KXCITIESWEATHER-25JAN29(AUS)(MIA)(NY)-(T65)(T71)(T41),weather,"Will the high temp in Austin, Miami and New York be Austin: 64° or below; Miami: 70° or below and New York: 40° or below on Jan 29, 2025?",0.0,0.0,0,1.0,0,0.0,Historical temperature data indicates these conditions are extremely unlikely.
KXCITIESWEATHER-24DEC18(AUS)(CHI)-(B70.5)(B36.5),weather,"Will the high temp in Austin and Chicago be Austin: 70° to 71° and Chicago: 36° to 37° on Dec 18, 2024?",0.0,0.0,1,0.95,0,0.0,Historical temperature data shows these temperatures are extremely unlikely.
