market_id,category,title,model_probability,market_price_at_close,actual_outcome,confidence,relevant,price_gap,reasoning
KXCITIESWEATHER-25JAN15(AUS)(HOU)(MIA)(NY)(PHIL)-(T58)(B54.5)(B75.5)(B33.5)(B35.5),weather,"Will the high temp in Austin, Houston, Miami, New York and Philadelphia be Austin: 59° or above; Houston: 54° to 55°; Miami: 75° to 76°; New York: 33° to 34° and Philadelphia: 35° to 36° on Jan 15, 2025?",0.05,0.0,0,0.8,1,0.05,The specific temperature thresholds for multiple cities on a single day are highly unlikely and uncertain.
KXCITIESWEATHER-24DEC22(AUS)(CHI)(DEN)(HOU)(NY)(PHIL)-(T62)(T28)(T59)(T59)(T21)(T23),weather,"Will the high temp in Austin, Chicago, Denver, Houston, New York and Philadelphia be Austin: 61° or below; Chicago: 27° or below; Denver: 58° or below; Houston: 58° or below; New York: 20° or below and Philadelphia: 22° or below on Dec 22, 2024?",0.02,0.0,0,0.85,1,0.02,"The event requires extremely low temperatures for each city on Dec 22, which is highly unlikely based on historical data and forecast accuracy."
KXCITIESWEATHER-25JAN22(HOU)(MIA)(NY)-(T35)(T64)(T16),weather,"Will the high temp in Houston, Miami and New York be Houston: 34° or below; Miami: 63° or below and New York: 15° or below on Jan 22, 2025?",0.02,0.0,0,0.95,1,0.02,"The proposed temperatures for all three cities are extremely low compared to their historical norms and seasonal averages, indicating a very rare event."
TORNADO-24FEB-50,weather,Will there be more than 50 tornadoes in February?,0.24,0.24,0,0.95,0,0.0,"The question does not specify a city or temperature threshold, and the historical data provided is about temperature exceedance rates which are not directly related to tornado occurrences."
KXCITIESWEATHER-25JAN08(AUS)(DEN)(NY)(PHIL)-(B41.5)(T39)(B29.5)(B32.5),weather,"Will the high temp in Austin, Denver, New York and Philadelphia be Austin: 41° to 42°; Denver: 40° or above; New York: 29° to 30° and Philadelphia: 32° to 33° on Jan 8, 2025?",0.02,0.0,0,0.85,1,0.02,The specified temperature thresholds for all cities are extremely narrow and unlikely to occur simultaneously.
RAINNYC-21NOV01-T0,weather,Will it rain in New York City on Monday?,0.05,0.03,0,0.8,1,0.020000000000000004,"The current market price is very low at 3%, but considering New York's typical weather variability and the high uncertainty in precise rain predictions, a slightly higher probability of 5% seems more reasonable."
KXCITIESWEATHER-25JAN19(CHI)(NY)(PHIL)-(T31)(T41)(T40),weather,"Will the high temp in Chicago, New York and Philadelphia be Chicago: 30° or below; New York: 40° or below and Philadelphia: 39° or below on Jan 19, 2025?",0.25,0.0,0,0.8,1,0.25,"The probability is low due to the cold thresholds being below typical winter temperatures for all three cities, but not impossible."
KXCITIESWEATHER-25FEB28(CHI)(DEN)(PHIL)-(B56.5)(B63.5)(T54),weather,"Will the high temp in Chicago, Denver and Philadelphia be Chicago: 56° to 57°; Denver: 63° to 64° and Philadelphia: 55° or above on Feb 28, 2025?",0.02,0.0,0,0.85,1,0.02,"The specified temperature thresholds for Chicago, Denver, and Philadelphia are extremely narrow and far from their typical February norms, making the event highly unlikely."
KXCITIESWEATHER-25JAN29(AUS)(MIA)(NY)-(T65)(T71)(T41),weather,"Will the high temp in Austin, Miami and New York be Austin: 64° or below; Miami: 70° or below and New York: 40° or below on Jan 29, 2025?",0.02,0.0,0,0.85,1,0.02,"The probability is very low due to the extreme cold temperatures required in all three cities simultaneously, especially for Miami and New York."
KXCITIESWEATHER-24DEC18(AUS)(CHI)-(B70.5)(B36.5),weather,"Will the high temp in Austin and Chicago be Austin: 70° to 71° and Chicago: 36° to 37° on Dec 18, 2024?",0.05,0.0,1,0.8,1,0.05,The narrow temperature range for both cities makes the event highly improbable.
KXCITIESWEATHER-24DEC30(AUS)(HOU)(NY)-(T77)(T72)(T52),weather,"Will the high temp in Austin, Houston and New York be Austin: 76° or below; Houston: 71° or below and New York: 51° or below on Dec 30, 2024?",0.05,0.0,0,0.7,1,0.05,"The specified temperatures are significantly below the historical averages for December in all three cities, indicating a very low probability of occurrence."
KXCITIESWEATHER-24DEC20(CHI)(HOU)(MIA)(PHIL)-(B37.5)(T68)(B79.5)(B39.5),weather,"Will the high temp in Chicago, Houston, Miami and Philadelphia be Chicago: 37° to 38°; Houston: 69° or above; Miami: 79° to 80° and Philadelphia: 39° to 40° on Dec 20, 2024?",0.02,0.0,0,0.85,1,0.02,"The specified temperature thresholds for each city are highly specific and unlikely to occur simultaneously on the same day, especially considering seasonal norms."
KXRTHOWTOTRAINYOURDRAGON-60,weather,How to Train Your Dragon Rotten Tomatoes score?,0.0,0.99,1,1.0,0,0.99,"The market question is about a weather-related event but asks for the Rotten Tomatoes score of a movie, which is irrelevant to weather data."
